func, size, padding,time, correctness
dgemm0, 64, 1, 0.000993s, 1
dgemm1, 64, 1, 0.000648s, 1
dgemm0, 128, 1, 0.008805s, 1
dgemm1, 128, 1, 0.005495s, 1
dgemm0, 256, 1, 0.119891s, 1
dgemm1, 256, 1, 0.048847s, 1
dgemm0, 512, 1, 1.165579s, 1
dgemm1, 512, 1, 0.765333s, 1
dgemm0, 1024, 1, 9.147360s, 1
dgemm1, 1024, 1, 5.879810s, 1
dgemm0, 2048, 1, 182.605515s, 1
dgemm1, 2048, 1, 147.496824s, 1
